time;value
21,98;0,00
22,00;1,00
22,01;1,00
22,03;1,00
22,05;1,00
22,06;1,00
22,08;1,00
22,10;1,00
22,11;1,00
22,13;1,00
22,15;2,00
22,16;2,00
22,18;2,00
22,20;3,00
22,22;3,00
22,24;3,00
22,25;3,00
22,27;3,00
22,29;3,00
22,31;3,00
22,33;3,00
22,34;3,00
22,36;3,00
22,38;3,00
22,39;3,00
22,41;3,00
22,43;3,00
22,44;2,00
22,46;2,00
22,48;2,00
22,49;3,00
22,52;3,00
22,54;3,00
22,56;3,00
22,58;3,00
22,59;3,00
22,61;3,00
22,63;3,00
22,65;4,00
22,66;4,00
22,69;4,00
22,70;4,00
22,72;4,00
22,74;4,00
22,75;4,00
22,77;4,00
22,80;4,00
22,81;4,00
22,83;3,00
22,85;3,00
22,86;3,00
22,88;3,00
22,90;3,00
22,91;2,00
22,93;2,00
22,95;2,00
22,97;2,00
22,99;2,00
23,00;2,00
23,02;2,00
23,04;2,00
23,06;2,00
23,07;2,00
23,09;2,00
23,11;2,00
23,13;2,00
23,15;2,00
23,16;2,00
23,18;2,00
23,20;2,00
23,22;2,00
23,24;3,00
23,25;3,00
23,27;3,00
23,29;3,00
23,30;3,00
23,32;3,00
23,34;3,00
23,36;3,00
23,38;3,00
23,40;3,00
23,42;3,00
23,44;3,00
23,45;3,00
23,47;3,00
23,49;3,00
23,50;3,00
23,52;3,00
23,54;3,00
23,55;2,00
23,57;3,00
23,59;3,00
23,60;3,00
23,62;3,00
23,64;3,00
23,65;3,00
23,67;3,00
23,69;3,00
23,70;3,00
23,72;3,00
23,74;3,00
23,75;3,00
23,77;3,00
23,79;3,00
23,81;2,00
23,83;3,00
23,84;2,00
23,86;2,00
23,89;2,00
23,90;2,00
23,92;2,00
23,93;2,00
23,96;2,00
23,97;2,00
24,00;2,00
24,02;1,00
24,04;1,00
24,06;2,00
24,08;2,00
24,09;2,00
24,11;2,00
24,13;3,00
24,15;3,00
24,17;3,00
24,19;3,00
24,21;3,00
24,22;3,00
24,25;3,00
24,26;4,00
24,28;4,00
24,30;4,00
24,32;3,00
24,34;3,00
24,36;3,00
24,37;3,00
24,39;3,00
24,41;3,00
24,43;3,00
24,45;2,00
24,47;2,00
24,49;2,00
24,50;2,00
24,52;2,00
24,54;2,00
24,56;2,00
24,58;2,00
24,59;2,00
24,62;2,00
24,64;2,00
24,65;2,00
24,67;2,00
24,69;2,00
24,71;2,00
24,72;3,00
24,75;2,00
24,76;2,00
24,78;2,00
24,81;3,00
24,82;3,00
24,84;3,00
24,86;2,00
24,87;3,00
24,89;3,00
24,91;3,00
24,92;3,00
24,94;3,00
24,96;3,00
24,98;3,00
25,00;3,00
25,02;3,00
25,04;3,00
25,06;3,00
25,07;2,00
25,09;2,00
25,11;2,00
25,13;3,00
25,14;3,00
25,16;3,00
25,18;3,00
25,19;3,00
