time;value
9,17;0,00
9,19;1,00
9,21;1,00
9,23;1,00
9,24;1,00
9,26;1,00
9,28;1,00
9,30;1,00
9,31;2,00
9,33;2,00
9,35;2,00
9,36;2,00
9,38;2,00
9,40;2,00
9,42;3,00
9,43;3,00
9,45;3,00
9,47;3,00
9,48;3,00
9,50;3,00
9,52;3,00
9,53;3,00
9,56;3,00
9,57;3,00
9,59;3,00
9,61;3,00
9,62;3,00
9,64;3,00
9,66;3,00
9,67;3,00
9,69;2,00
9,71;2,00
9,72;2,00
9,74;3,00
9,76;2,00
9,77;3,00
9,79;3,00
9,81;3,00
9,82;3,00
9,84;3,00
9,86;3,00
9,87;3,00
9,89;3,00
9,91;2,00
9,92;3,00
9,94;3,00
9,96;3,00
9,98;3,00
10,00;3,00
10,02;3,00
10,03;3,00
10,05;3,00
10,07;3,00
10,08;3,00
10,10;3,00
10,12;3,00
10,14;3,00
10,16;3,00
10,17;3,00
10,19;3,00
10,21;3,00
10,23;3,00
10,26;3,00
10,28;3,00
10,30;3,00
10,31;2,00
10,33;2,00
10,35;3,00
10,37;2,00
10,39;2,00
10,41;2,00
10,43;2,00
10,44;2,00
10,46;3,00
10,48;3,00
10,49;3,00
10,51;3,00
10,53;3,00
10,55;3,00
10,56;3,00
10,58;3,00
10,59;3,00
10,61;3,00
10,63;3,00
10,64;3,00
10,66;3,00
10,68;3,00
10,70;3,00
10,72;2,00
10,73;2,00
10,76;2,00
10,77;3,00
10,79;3,00
10,81;3,00
10,82;2,00
10,84;2,00
10,86;3,00
10,88;3,00
10,89;3,00
10,91;3,00
10,93;3,00
10,95;3,00
10,96;3,00
10,98;3,00
11,00;3,00
11,02;3,00
11,03;3,00
11,05;3,00
11,07;3,00
11,08;3,00
11,10;3,00
11,12;3,00
11,14;3,00
11,16;3,00
11,18;3,00
11,20;3,00
11,22;3,00
11,23;3,00
11,25;4,00
11,27;4,00
11,28;4,00
11,30;4,00
11,32;4,00
11,33;4,00
11,35;4,00
11,37;4,00
11,39;4,00
11,40;4,00
11,42;4,00
11,44;4,00
11,46;4,00
11,47;4,00
11,49;3,00
11,51;3,00
11,53;3,00
11,54;3,00
11,56;3,00
11,58;3,00
11,59;3,00
11,61;3,00
11,65;3,00
11,67;3,00
11,68;3,00
11,70;3,00
11,72;3,00
11,74;3,00
11,75;3,00
11,77;3,00
11,79;3,00
11,80;4,00
11,82;4,00
11,85;4,00
11,86;4,00
11,88;3,00
11,91;3,00
11,93;3,00
11,95;3,00
11,97;2,00
11,98;2,00
12,00;1,00
12,02;1,00
12,04;2,00
12,05;1,00
12,07;1,00
12,09;1,00
12,11;1,00
12,13;1,00
12,15;1,00
12,16;1,00
12,18;2,00
12,20;2,00
12,21;2,00
12,23;2,00
12,25;3,00
12,27;3,00
12,29;3,00
12,30;3,00
12,32;2,00
12,34;3,00
12,37;2,00
12,39;2,00
12,41;3,00
12,42;3,00
12,44;3,00
12,46;3,00
12,47;3,00
12,49;3,00
12,51;3,00
12,52;3,00
12,54;3,00
12,56;3,00
12,57;4,00
12,59;4,00
12,61;4,00
12,62;4,00
12,64;4,00
12,66;4,00
12,67;4,00
12,69;4,00
12,71;4,00
12,72;3,00
12,74;3,00
12,76;4,00
12,77;4,00
12,79;4,00
12,81;4,00
12,82;4,00
12,84;4,00
12,86;3,00
