time;value
13,81;2,00
13,83;3,00
13,85;3,00
13,87;2,00
13,89;2,00
13,91;2,00
13,93;2,00
13,95;2,00
13,97;3,00
13,98;2,00
14,00;3,00
14,02;3,00
14,03;2,00
14,05;2,00
14,07;2,00
14,08;2,00
14,10;2,00
14,12;2,00
14,13;2,00
14,15;2,00
14,17;2,00
14,18;2,00
14,20;2,00
14,21;1,00
14,23;2,00
14,25;1,00
14,27;1,00
14,28;2,00
14,30;2,00
14,32;1,00
14,33;1,00
14,35;2,00
14,37;2,00
14,38;2,00
14,40;2,00
14,42;2,00
14,43;3,00
14,45;3,00
14,47;3,00
14,49;3,00
14,51;3,00
14,52;3,00
14,54;3,00
14,56;3,00
14,58;3,00
14,60;3,00
14,61;3,00
14,63;3,00
14,65;2,00
14,66;2,00
14,69;2,00
14,70;2,00
14,72;2,00
14,74;2,00
14,76;2,00
14,77;2,00
14,79;2,00
14,81;2,00
14,82;2,00
14,84;2,00
14,86;2,00
14,88;2,00
14,89;2,00
14,91;2,00
14,93;2,00
14,95;2,00
14,96;2,00
14,98;2,00
15,00;2,00
15,01;2,00
15,03;2,00
15,05;2,00
15,06;2,00
15,08;2,00
15,10;2,00
15,11;2,00
15,13;2,00
15,15;2,00
15,16;2,00
15,18;2,00
15,20;2,00
15,21;2,00
15,23;2,00
15,25;2,00
15,27;2,00
15,29;2,00
15,31;2,00
15,33;2,00
15,34;2,00
15,36;2,00
15,38;2,00
15,40;2,00
15,42;2,00
15,44;2,00
15,46;2,00
15,47;2,00
15,49;3,00
15,51;3,00
15,52;2,00
15,54;2,00
15,56;2,00
15,58;2,00
15,60;2,00
15,62;2,00
15,63;2,00
15,65;2,00
15,67;2,00
15,68;2,00
15,70;2,00
15,72;1,00
15,74;2,00
15,75;1,00
15,77;1,00
15,79;2,00
15,82;2,00
15,83;2,00
15,85;2,00
15,87;2,00
15,89;2,00
15,91;2,00
15,93;2,00
15,94;2,00
15,96;2,00
15,98;2,00
16,00;2,00
16,02;2,00
16,03;2,00
16,05;2,00
16,07;2,00
16,09;2,00
16,11;2,00
16,13;2,00
16,15;2,00
16,16;2,00
16,18;2,00
16,20;2,00
16,21;2,00
16,23;2,00
16,24;2,00
16,26;2,00
16,28;2,00
16,30;2,00
16,31;2,00
16,33;1,00
16,35;1,00
16,36;1,00
16,38;1,00
16,40;1,00
16,41;1,00
16,43;1,00
16,45;2,00
16,47;2,00
16,49;2,00
16,50;2,00
16,52;2,00
16,54;2,00
16,56;2,00
16,57;2,00
16,60;2,00
16,62;2,00
16,64;2,00
16,65;2,00
16,67;2,00
16,69;3,00
16,70;2,00
16,72;2,00
16,74;2,00
16,75;2,00
16,77;2,00
16,79;3,00
16,80;2,00
16,82;2,00
16,84;2,00
16,85;2,00
16,87;2,00
16,89;2,00
16,90;2,00
16,93;2,00
16,94;2,00
16,96;2,00
16,98;3,00
17,00;3,00
17,01;3,00
17,03;3,00
17,05;3,00
17,07;3,00
17,09;3,00
17,10;3,00
17,12;3,00
17,14;3,00
17,16;4,00
17,18;4,00
17,20;4,00
17,22;3,00
17,23;3,00
17,25;3,00
17,27;3,00
17,28;3,00
17,31;3,00
17,33;2,00
17,34;3,00
17,36;2,00
17,38;2,00
17,40;2,00
17,41;2,00
17,43;2,00
17,45;2,00
17,47;3,00
17,49;3,00
17,51;3,00
17,53;4,00
17,54;4,00
17,57;4,00
17,59;4,00
17,60;4,00
17,62;3,00
17,64;3,00
17,66;3,00
17,67;3,00
17,70;3,00
17,72;3,00
17,73;3,00
17,75;4,00
17,77;3,00
17,78;3,00
17,80;3,00
17,83;2,00
17,84;2,00
17,86;2,00
17,88;2,00
17,90;2,00
17,93;2,00
17,94;2,00
17,96;1,00
17,98;1,00
18,00;1,00
18,02;1,00
18,03;1,00
18,06;1,00
18,07;2,00
18,09;2,00
18,12;2,00
18,13;1,00
18,15;1,00
18,17;1,00
18,19;2,00
18,21;2,00
18,23;2,00
18,25;2,00
18,26;2,00
18,28;2,00
18,30;2,00
18,31;2,00
18,34;2,00
18,36;3,00
18,38;3,00
18,40;3,00
18,42;3,00
18,44;3,00
18,46;3,00
18,48;3,00
18,49;3,00
18,51;3,00
18,53;3,00
18,54;3,00
18,56;3,00
18,58;3,00
18,60;3,00
18,61;3,00
18,63;2,00
18,65;2,00
18,67;2,00
18,68;2,00
18,70;2,00
18,72;2,00
18,74;2,00
18,76;2,00
18,78;2,00
18,79;2,00
18,81;2,00
18,83;2,00
18,84;2,00
18,86;2,00
18,88;2,00
18,89;3,00
18,92;3,00
18,94;2,00
18,96;2,00
18,98;2,00
18,99;2,00
19,01;2,00
19,03;2,00
19,05;2,00
19,06;2,00
19,08;2,00
19,10;2,00
19,11;2,00
19,13;2,00
19,15;2,00
19,16;2,00
19,18;2,00
19,20;2,00
19,22;2,00
19,24;2,00
19,26;2,00
19,28;3,00
19,29;2,00
19,31;2,00
19,33;2,00
19,35;2,00
19,38;2,00
19,39;2,00
19,41;2,00
19,43;3,00
19,45;3,00
19,46;3,00
19,48;3,00
19,51;3,00
19,53;3,00
19,55;3,00
19,56;3,00
19,58;3,00
19,60;4,00
19,62;4,00
19,64;3,00
19,65;3,00
19,67;4,00
19,69;3,00
19,71;3,00
19,72;3,00
19,74;3,00
19,76;3,00
19,77;4,00
19,79;4,00
19,81;4,00
19,82;3,00
19,84;3,00
19,86;3,00
19,88;3,00
19,90;3,00
19,92;2,00
19,94;2,00
19,95;2,00
19,98;2,00
20,00;2,00
20,02;2,00
20,04;2,00
20,05;1,00
20,07;1,00
20,09;1,00
20,10;1,00
20,12;1,00
20,14;1,00
20,17;1,00
20,18;1,00
20,20;1,00
20,22;1,00
20,24;1,00
20,26;1,00
20,28;1,00
20,30;1,00
20,32;1,00
20,33;1,00
20,35;1,00
20,37;1,00
20,39;1,00
20,41;1,00
20,43;1,00
20,45;1,00
20,47;2,00
20,49;2,00
20,51;2,00
20,53;2,00
20,55;2,00
20,57;2,00
20,59;2,00
20,61;2,00
20,62;2,00
20,65;3,00
20,66;3,00
20,68;3,00
20,69;2,00
20,71;2,00
20,73;2,00
20,75;2,00
20,77;2,00
20,78;2,00
20,80;2,00
20,82;2,00
20,83;2,00
20,85;1,00
20,87;2,00
20,88;2,00
20,91;1,00
20,92;1,00
20,94;2,00
20,96;2,00
20,97;2,00
20,99;2,00
21,01;2,00
21,03;2,00
21,04;2,00
21,06;2,00
21,08;3,00
21,10;3,00
21,11;3,00
21,13;3,00
21,15;3,00
21,16;2,00
21,18;2,00
21,20;3,00
21,22;3,00
21,23;2,00
21,25;2,00
21,27;3,00
21,29;3,00
21,30;3,00
21,32;3,00
21,37;3,00
21,39;3,00
21,41;3,00
21,43;3,00
21,44;3,00
21,46;3,00
21,47;3,00
21,49;3,00
21,51;3,00
21,53;3,00
21,55;3,00
21,57;3,00
21,58;4,00
21,60;4,00
21,62;3,00
21,64;4,00
21,66;4,00
21,67;4,00
21,69;4,00
21,71;3,00
21,73;4,00
21,74;3,00
21,76;3,00
21,78;3,00
21,80;3,00
21,81;3,00
21,84;3,00
21,85;2,00
21,87;2,00
21,89;2,00
21,91;2,00
21,93;2,00
21,94;2,00
21,96;2,00
21,98;2,00
21,99;3,00
22,01;3,00
22,03;3,00
22,04;3,00
22,07;3,00
22,08;3,00
22,10;3,00
22,12;3,00
22,13;3,00
22,15;3,00
22,16;3,00
22,19;3,00
22,20;3,00
22,22;3,00
22,24;3,00
22,26;3,00
22,28;2,00
22,30;3,00
22,32;3,00
22,33;3,00
22,35;3,00
22,37;2,00
22,39;3,00
22,41;2,00
22,42;3,00
22,44;3,00
22,46;3,00
22,48;3,00
22,49;3,00
22,51;3,00
22,53;3,00
22,54;3,00
22,56;3,00
22,58;3,00
22,59;3,00
22,61;3,00
22,63;2,00
22,65;2,00
22,67;2,00
22,69;2,00
22,71;2,00
22,73;1,00
22,75;2,00
22,77;2,00
22,79;2,00
22,81;2,00
22,82;2,00
22,84;2,00
22,86;2,00
22,87;2,00
22,89;3,00
