time;value
6,87;0,00
6,89;0,00
6,91;0,00
6,93;1,00
6,94;1,00
6,96;1,00
6,98;1,00
6,99;1,00
7,02;1,00
7,04;2,00
7,06;2,00
7,07;2,00
7,09;2,00
7,11;2,00
7,13;3,00
7,14;3,00
7,16;3,00
7,18;3,00
7,19;3,00
7,21;3,00
7,24;3,00
7,26;3,00
7,27;3,00
7,29;3,00
7,31;3,00
7,32;3,00
7,34;3,00
7,36;3,00
7,38;3,00
7,40;3,00
7,41;3,00
7,43;3,00
7,45;3,00
7,47;3,00
7,49;3,00
7,51;4,00
7,53;3,00
7,54;4,00
7,56;3,00
7,58;4,00
7,59;4,00
7,61;3,00
7,63;4,00
7,64;3,00
7,66;3,00
7,68;3,00
7,69;3,00
7,71;3,00
7,73;3,00
7,75;3,00
7,77;3,00
7,78;3,00
7,80;3,00
7,82;3,00
7,83;3,00
7,85;3,00
7,87;3,00
7,88;3,00
7,90;3,00
7,92;3,00
7,93;3,00
7,95;3,00
7,97;3,00
7,98;3,00
8,00;4,00
8,02;4,00
8,03;4,00
8,05;3,00
8,07;3,00
8,08;4,00
8,12;4,00
8,14;4,00
8,16;4,00
8,17;4,00
8,19;4,00
8,21;4,00
8,23;4,00
8,25;4,00
8,26;4,00
8,28;3,00
8,30;4,00
8,32;3,00
8,35;3,00
8,36;4,00
8,38;3,00
8,40;4,00
8,41;4,00
8,43;4,00
8,46;3,00
8,47;3,00
8,49;3,00
8,51;3,00
8,53;3,00
8,54;4,00
8,56;3,00
8,59;3,00
8,60;3,00
8,62;3,00
8,64;3,00
8,66;4,00
8,67;4,00
8,69;4,00
8,71;4,00
8,73;4,00
8,75;4,00
8,77;4,00
8,79;4,00
8,80;4,00
8,83;4,00
8,84;5,00
8,86;4,00
8,88;4,00
8,89;4,00
8,91;4,00
8,93;4,00
8,95;3,00
8,97;3,00
8,99;3,00
9,01;4,00
9,03;4,00
9,05;4,00
9,07;4,00
9,08;4,00
9,10;4,00
9,12;5,00
9,14;5,00
9,15;5,00
9,17;5,00
9,19;5,00
9,21;5,00
9,23;5,00
9,25;5,00
9,27;5,00
9,30;5,00
9,32;5,00
9,34;5,00
9,35;5,00
9,37;4,00
9,39;4,00
9,40;4,00
9,43;4,00
9,44;4,00
9,46;4,00
9,48;3,00
9,50;4,00
9,51;3,00
9,54;3,00
9,56;4,00
9,58;3,00
9,59;3,00
9,61;3,00
9,63;3,00
9,65;3,00
9,66;3,00
9,68;3,00
9,71;4,00
9,73;4,00
9,75;4,00
9,78;4,00
9,82;4,00
9,84;4,00
9,86;4,00
9,87;4,00
9,89;3,00
9,91;3,00
9,92;3,00
9,94;3,00
9,96;3,00
9,97;3,00
9,99;3,00
10,01;3,00
10,03;3,00
10,06;3,00
10,08;3,00
10,10;3,00
10,11;3,00
10,13;3,00
10,15;3,00
10,16;3,00
10,18;3,00
10,20;3,00
10,22;3,00
10,23;3,00
10,25;3,00
10,28;3,00
10,30;2,00
10,33;2,00
10,36;2,00
10,38;2,00
10,40;2,00
10,41;2,00
10,43;3,00
10,45;3,00
10,46;3,00
10,48;3,00
10,50;2,00
10,52;3,00
10,54;3,00
10,56;2,00
10,58;3,00
10,60;3,00
10,61;3,00
10,63;3,00
10,65;3,00
10,67;4,00
10,68;4,00
10,70;3,00
10,72;3,00
10,74;3,00
10,76;4,00
10,79;3,00
10,81;3,00
10,83;3,00
10,85;3,00
10,86;3,00
10,89;3,00
10,91;3,00
10,92;3,00
10,94;3,00
10,96;4,00
10,98;4,00
11,00;3,00
11,01;3,00
11,03;4,00
11,06;4,00
11,08;4,00
11,10;4,00
11,12;4,00
11,14;4,00
11,16;4,00
11,17;4,00
11,19;4,00
11,21;4,00
11,23;3,00
11,25;4,00
11,26;4,00
11,28;4,00
11,31;4,00
11,32;4,00
11,34;4,00
11,36;3,00
11,38;3,00
11,40;3,00
11,41;3,00
11,43;3,00
11,45;4,00
11,47;4,00
11,48;4,00
11,50;4,00
11,51;4,00
11,55;4,00
11,56;4,00
11,58;4,00
11,60;4,00
11,62;5,00
11,64;5,00
11,66;5,00
11,67;5,00
11,69;5,00
11,71;5,00
11,72;4,00
11,75;4,00
11,77;4,00
11,80;4,00
11,82;4,00
11,84;4,00
11,86;4,00
11,88;4,00
11,89;4,00
11,91;4,00
11,93;4,00
11,94;4,00
11,96;4,00
11,98;4,00
11,99;4,00
12,01;4,00
12,04;4,00
12,06;5,00
12,08;4,00
12,09;4,00
12,11;4,00
12,13;4,00
12,14;4,00
12,16;4,00
12,18;4,00
12,20;4,00
12,22;4,00
12,24;4,00
12,26;4,00
12,28;4,00
12,30;4,00
12,32;3,00
12,33;3,00
12,36;4,00
12,38;4,00
12,40;4,00
12,41;4,00
12,43;4,00
12,45;3,00
12,46;3,00
12,48;3,00
12,50;3,00
12,52;3,00
12,54;3,00
12,56;3,00
12,58;4,00
12,59;4,00
12,61;4,00
12,63;3,00
12,64;3,00
12,66;3,00
12,68;4,00
12,70;4,00
12,72;4,00
