time;value
8,51;0,00
8,51;0,00
8,53;0,00
8,55;0,00
8,57;0,00
8,59;0,00
8,60;0,00
8,62;0,00
8,64;0,00
8,65;0,00
8,67;0,00
8,69;0,00
8,70;0,00
8,72;0,00
8,74;0,00
8,75;0,00
8,77;0,00
8,79;0,00
8,80;0,00
8,82;0,00
8,84;0,00
8,85;0,00
8,87;0,00
8,89;0,00
8,90;0,00
8,92;0,00
8,94;0,00
8,96;0,00
8,97;0,00
8,99;0,00
9,01;0,00
9,02;0,00
9,04;0,00
9,06;0,00
9,07;0,00
9,09;0,00
9,11;0,00
9,12;0,00
9,14;0,00
9,16;0,00
9,17;0,00
9,19;0,00
9,21;0,00
9,23;0,00
9,24;0,00
9,26;0,00
9,28;0,00
9,29;0,00
9,31;0,00
9,33;0,00
9,34;0,00
9,36;0,00
9,38;0,00
9,39;0,00
9,41;0,00
9,43;0,00
9,44;0,00
9,46;0,00
9,48;0,00
9,49;0,00
9,51;0,00
9,53;0,00
9,54;0,00
9,56;0,00
9,58;0,00
9,60;0,00
9,61;0,00
9,63;0,00
9,65;0,00
9,66;0,00
9,68;0,00
9,70;0,00
9,71;0,00
9,73;0,00
9,75;0,00
9,76;0,00
9,78;0,00
9,80;0,00
9,81;0,00
9,83;0,00
9,85;0,00
9,87;0,00
9,88;0,00
9,90;0,00
9,92;0,00
9,93;0,00
9,95;0,00
9,97;0,00
9,98;0,00
10,00;0,00
10,02;0,00
10,03;0,00
10,05;0,00
10,07;0,00
10,08;0,00
10,10;0,00
10,12;0,00
10,14;0,00
10,15;0,00
10,17;0,00
10,19;0,00
10,20;0,00
10,22;0,00
10,24;0,00
10,25;0,00
10,27;0,00
10,29;0,00
10,30;0,00
10,32;0,00
10,34;0,00
10,35;0,00
10,37;0,00
10,39;0,00
10,41;0,00
10,42;0,00
10,44;0,00
10,46;0,00
10,47;0,00
10,49;0,00
10,51;0,00
10,52;0,00
10,54;0,00
10,56;0,00
10,57;0,00
10,59;0,00
10,61;0,00
10,62;0,00
10,64;0,00
10,66;0,00
10,68;0,00
10,69;0,00
10,71;0,00
10,73;0,00
10,74;0,00
10,76;0,00
10,78;0,00
10,79;0,00
10,81;0,00
10,83;0,00
10,91;0,00
11,24;0,00
11,26;0,00
11,28;0,00
11,29;0,00
11,31;0,00
11,33;0,00
11,34;0,00
11,36;0,00
11,38;0,00
11,39;0,00
11,41;0,00
11,43;0,00
11,44;0,00
11,46;0,00
11,48;0,00
11,49;0,00
11,51;0,00
11,53;0,00
11,54;0,00
11,56;0,00
11,58;0,00
11,60;0,00
11,61;0,00
11,63;0,00
11,65;0,00
11,66;0,00
11,68;0,00
11,70;0,00
11,71;0,00
11,73;0,00
11,75;0,00
11,76;0,00
11,78;0,00
11,80;0,00
11,81;0,00
11,83;0,00
11,85;0,00
11,87;0,00
11,88;0,00
11,90;0,00
11,92;0,00
11,93;0,00
11,95;0,00
11,97;0,00
11,98;0,00
12,00;0,00
12,02;0,00
12,03;0,00
12,05;0,00
12,07;0,00
12,08;0,00
12,10;0,00
12,12;0,00
12,13;0,00
12,15;0,00
12,17;0,00
12,19;0,00
12,20;0,00
12,22;0,00
12,24;0,00
12,25;0,00
12,27;0,00
12,29;0,00
12,30;0,00
12,32;0,00
12,34;0,00
12,35;0,00
12,37;0,00
12,39;0,00
12,40;0,00
12,42;0,00
12,44;0,00
12,45;0,00
12,47;0,00
12,49;0,00
12,51;0,00
12,52;0,00
12,54;0,00
12,56;0,00
12,57;0,00
12,59;0,00
12,61;0,00
12,62;0,00
12,64;0,00
12,66;0,00
12,67;0,00
12,69;0,00
12,71;0,00
12,72;0,00
12,74;0,00
12,76;0,00
12,78;0,00
12,79;0,00
12,81;0,00
12,83;0,00
12,84;0,00
12,86;0,00
12,88;0,00
12,89;0,00
12,91;0,00
12,93;0,00
12,94;0,00
12,96;0,00
12,98;0,00
12,99;0,00
13,01;0,00
13,03;0,00
13,05;0,00
13,06;0,00
13,08;0,00
13,10;0,00
13,11;0,00
13,13;0,00
13,15;0,00
13,16;0,00
13,19;0,00
13,21;0,00
13,23;0,00
13,24;0,00
13,26;0,00
13,28;0,00
13,29;0,00
13,31;0,00
13,33;0,00
13,34;0,00
13,36;0,00
13,38;0,00
13,39;0,00
13,41;0,00
13,43;0,00
13,44;0,00
13,46;0,00
13,48;0,00
13,49;0,00
13,51;0,00
13,53;0,00
13,55;0,00
13,56;0,00
13,58;0,00
13,60;0,00
13,61;0,00
13,63;0,00
13,65;0,00
13,66;0,00
13,68;0,00
13,70;0,00
13,71;0,00
13,73;0,00
13,75;0,00
13,76;0,00
13,78;0,00
13,80;0,00
13,82;0,00
13,83;0,00
13,85;0,00
13,88;0,00
13,91;0,00
13,92;0,00
13,94;0,00
13,96;0,00
13,97;0,00
13,99;0,00
14,01;0,00
14,02;0,00
14,04;0,00
14,06;0,00
14,07;0,00
14,09;0,00
14,11;0,00
14,12;0,00
14,14;0,00
14,16;0,00
14,18;0,00
14,19;0,00
14,21;0,00
14,23;0,00
14,24;0,00
14,26;0,00
14,28;0,00
14,29;0,00
14,31;0,00
14,33;0,00
14,34;0,00
14,36;0,00
14,38;0,00
14,39;0,00
14,41;0,00
14,43;0,00
14,44;0,00
14,46;0,00
14,48;0,00
14,50;0,00
14,51;0,00
14,53;0,00
14,55;4,00
14,57;4,00
14,59;4,00
14,60;4,00
14,62;4,00
14,64;4,00
14,65;4,00
14,67;4,00
14,69;4,00
14,71;4,00
14,73;4,00
14,74;4,00
14,76;4,00
14,78;4,00
14,79;40,00
14,81;40,00
14,83;40,00
14,84;40,00
14,86;40,00
14,88;40,00
14,90;40,00
14,91;40,00
14,93;40,00
14,95;40,00
14,96;400,00
14,98;400,00
15,00;400,00
15,01;400,00
15,03;400,00
15,05;400,00
15,06;400,00
15,08;400,00
15,10;400,00
15,11;400,00
15,13;400,00
15,15;400,00
15,17;400,00
15,18;400,00
15,20;400,00
15,22;400,00
15,23;400,00
15,25;400,00
15,27;400,00
15,28;400,00
15,30;400,00
15,32;400,00
15,33;400,00
15,35;400,00
15,37;400,00
15,38;400,00
15,40;400,00
15,42;400,00
15,43;400,00
15,45;400,00
15,47;400,00
15,49;400,00
15,50;400,00
15,52;400,00
15,54;400,00
15,55;400,00
15,57;400,00
15,59;400,00
15,60;400,00
15,62;400,00
15,64;400,00
15,65;400,00
15,67;400,00
15,69;400,00
15,70;400,00
15,72;400,00
15,74;400,00
15,75;400,00
15,77;400,00
15,79;400,00
15,81;400,00
15,82;400,00
15,84;400,00
15,86;400,00
15,87;400,00
15,89;400,00
15,91;400,00
15,92;400,00
15,94;400,00
15,96;400,00
15,97;400,00
15,99;400,00
16,01;400,00
16,03;400,00
16,04;400,00
16,06;400,00
16,08;400,00
16,09;400,00
16,11;400,00
16,13;400,00
16,14;400,00
16,16;400,00
16,18;400,00
16,19;400,00
16,21;400,00
16,23;400,00
16,24;400,00
16,26;400,00
16,28;400,00
16,29;400,00
16,31;400,00
16,33;400,00
16,35;400,00
16,36;400,00
16,38;400,00
16,40;400,00
16,41;400,00
16,43;400,00
16,45;400,00
16,46;400,00
16,48;400,00
16,50;400,00
16,51;400,00
16,53;400,00
16,55;400,00
16,56;400,00
16,58;400,00
16,60;400,00
16,61;400,00
16,63;400,00
16,65;400,00
16,67;400,00
16,68;400,00
16,70;400,00
16,72;400,00
16,73;400,00
16,75;400,00
16,77;400,00
16,79;400,00
16,81;400,00
16,82;400,00
16,84;400,00
16,86;400,00
16,87;400,00
16,89;400,00
16,91;400,00
16,92;400,00
16,94;400,00
16,96;400,00
16,98;400,00
16,99;400,00
17,01;400,00
17,03;400,00
17,04;400,00
17,06;400,00
17,08;400,00
17,09;400,00
17,12;0,00
17,14;0,00
17,16;0,00
17,18;0,00
17,19;0,00
17,21;0,00
17,23;0,00
17,24;0,00
17,26;0,00
17,28;0,00
17,29;0,00
17,31;0,00
17,33;0,00
17,34;0,00
17,36;0,00
17,38;0,00
17,39;0,00
17,41;0,00
17,43;0,00
17,44;0,00
17,46;0,00
17,48;0,00
17,49;0,00
17,51;0,00
17,53;0,00
17,55;0,00
17,56;0,00
17,58;0,00
17,60;0,00
17,61;0,00
17,63;0,00
17,65;0,00
17,66;0,00
17,68;0,00
17,70;0,00
17,71;0,00
17,73;0,00
17,75;0,00
17,76;0,00
17,78;0,00
17,80;0,00
17,82;0,00
17,83;0,00
17,85;0,00
17,87;0,00
17,88;0,00
17,90;0,00
17,92;0,00
17,93;0,00
17,95;0,00
17,97;0,00
17,98;0,00
18,00;0,00
18,02;0,00
18,03;0,00
18,05;0,00
18,07;0,00
18,08;0,00
18,10;0,00
18,12;0,00
18,14;0,00
18,15;0,00
18,17;0,00
18,19;0,00
18,20;0,00
18,22;0,00
18,24;0,00
18,25;0,00
18,27;0,00
18,29;0,00
18,30;0,00
18,32;0,00
18,34;0,00
18,35;0,00
18,37;0,00
18,39;0,00
18,40;0,00
18,42;0,00
18,44;0,00
18,46;0,00
18,47;0,00
18,49;0,00
18,51;0,00
18,52;0,00
18,54;0,00
18,56;0,00
18,57;0,00
18,59;0,00
18,61;0,00
18,63;0,00
18,64;0,00
18,66;0,00
18,68;0,00
18,69;0,00
18,71;0,00
18,73;0,00
18,74;0,00
18,76;0,00
18,78;0,00
18,79;0,00
18,81;0,00
18,83;0,00
18,84;0,00
18,86;0,00
18,88;0,00
18,89;0,00
18,91;0,00
18,93;0,00
18,95;0,00
18,96;0,00
18,98;0,00
19,00;0,00
19,01;0,00
19,03;0,00
19,05;0,00
19,06;0,00
19,08;0,00
19,10;0,00
19,11;0,00
19,13;0,00
19,15;0,00
19,16;0,00
19,18;0,00
19,20;0,00
19,21;0,00
19,23;0,00
19,25;0,00
19,27;0,00
19,28;0,00
19,30;0,00
19,32;0,00
19,33;0,00
19,35;0,00
19,37;0,00
19,38;0,00
19,40;0,00
19,42;0,00
19,43;0,00
19,45;0,00
19,47;0,00
19,48;0,00
19,50;0,00
19,52;0,00
19,53;0,00
19,55;0,00
19,57;0,00
19,59;0,00
19,60;0,00
19,62;0,00
19,64;0,00
19,65;0,00
19,67;0,00
19,69;0,00
19,70;0,00
19,72;0,00
19,74;0,00
19,75;0,00
19,77;0,00
19,79;0,00
19,80;0,00
19,82;0,00
19,84;0,00
19,85;0,00
19,87;0,00
19,89;0,00
19,91;0,00
19,92;0,00
19,94;0,00
19,96;0,00
19,97;0,00
19,99;0,00
20,01;0,00
20,02;0,00
20,04;0,00
20,06;0,00
20,07;0,00
20,09;0,00
20,11;0,00
20,12;0,00
20,14;0,00
20,16;0,00
20,18;0,00
20,19;0,00
20,21;0,00
20,23;0,00
20,24;0,00
20,26;0,00
20,28;0,00
20,29;0,00
20,31;0,00
20,33;0,00
20,34;0,00
20,36;0,00
20,38;0,00
20,39;0,00
20,41;0,00
20,43;0,00
20,44;0,00
20,46;0,00
20,48;0,00
20,50;0,00
20,51;0,00
20,53;0,00
20,55;0,00
20,56;0,00
20,58;0,00
20,60;0,00
20,61;0,00
20,63;0,00
20,65;0,00
20,66;0,00
20,68;0,00
20,70;0,00
20,71;0,00
20,73;0,00
20,75;0,00
20,76;0,00
20,78;0,00
20,80;0,00
20,82;0,00
20,83;0,00
20,85;0,00
20,87;0,00
20,88;0,00
20,90;0,00
20,92;0,00
20,93;0,00
20,95;0,00
20,97;0,00
20,98;0,00
21,00;0,00
21,02;0,00
21,03;0,00
21,05;0,00
21,07;0,00
21,08;0,00
21,10;0,00
21,12;0,00
21,14;0,00
21,15;0,00
21,17;0,00
21,19;0,00
21,20;0,00
21,22;0,00
21,24;0,00
21,25;0,00
21,27;0,00
21,29;0,00
21,30;0,00
21,32;0,00
21,34;0,00
21,35;0,00
21,37;0,00
21,39;0,00
21,41;0,00
21,42;0,00
21,44;0,00
21,46;0,00
21,47;0,00
21,49;0,00
21,51;0,00
21,52;0,00
21,54;0,00
21,56;0,00
21,57;0,00
21,59;0,00
21,61;0,00
21,62;0,00
21,64;0,00
21,66;0,00
21,67;0,00
21,69;0,00
21,71;0,00
21,73;0,00
21,74;0,00
21,76;0,00
21,78;0,00
21,79;0,00
21,81;0,00
21,83;0,00
21,84;0,00
21,86;0,00
21,88;0,00
21,89;0,00
21,91;0,00
21,93;0,00
21,94;0,00
21,96;0,00
21,98;0,00
21,99;0,00
22,01;0,00
22,03;0,00
22,05;0,00
22,06;0,00
22,08;0,00
22,10;0,00
22,11;0,00
22,13;0,00
22,15;0,00
22,16;0,00
22,18;0,00
22,20;0,00
22,21;0,00
22,23;0,00
22,25;0,00
22,27;0,00
22,28;0,00
22,30;0,00
22,32;0,00
22,33;0,00
22,35;0,00
22,37;0,00
22,38;0,00
22,40;0,00
22,42;0,00
22,43;0,00
22,45;0,00
22,47;0,00
22,48;0,00
22,50;0,00
22,52;0,00
22,53;0,00
22,55;0,00
22,57;0,00
22,58;0,00
22,60;0,00
22,62;0,00
22,64;0,00
22,66;4,00
22,68;4,00
22,69;4,00
22,71;4,00
22,73;4,00
22,75;4,00
22,77;4,00
22,79;4,00
22,81;4,00
22,82;4,00
22,84;4,00
22,86;4,00
22,89;40,00
22,92;40,00
22,94;40,00
22,95;40,00
22,97;40,00
22,99;40,00
23,00;400,00
23,02;400,00
23,04;400,00
23,05;400,00
23,07;400,00
23,09;400,00
23,10;400,00
23,12;400,00
23,14;400,00
23,15;400,00
23,17;400,00
23,19;400,00
23,21;400,00
23,22;400,00
23,24;400,00
23,26;400,00
23,27;400,00
23,29;400,00
23,31;400,00
23,32;400,00
23,34;400,00
23,36;400,00
23,37;400,00
23,39;400,00
23,41;400,00
23,42;400,00
23,44;400,00
23,46;400,00
23,47;400,00
23,49;400,00
23,51;400,00
23,53;400,00
23,54;400,00
23,56;400,00
23,58;400,00
23,59;400,00
23,61;400,00
23,63;400,00
23,64;400,00
23,66;400,00
23,68;400,00
23,69;400,00
23,71;400,00
23,73;400,00
23,74;400,00
23,76;400,00
23,78;400,00
23,79;400,00
23,81;400,00
23,83;400,00
23,85;400,00
23,86;400,00
23,88;400,00
23,90;400,00
23,91;400,00
23,94;400,00
23,96;400,00
23,98;400,00
23,99;400,00
24,01;400,00
24,03;400,00
24,04;400,00
24,06;400,00
24,08;400,00
24,10;400,00
24,11;400,00
24,13;400,00
24,15;400,00
24,16;400,00
24,18;400,00
24,20;400,00
24,21;400,00
24,23;400,00
24,25;400,00
24,26;400,00
24,28;400,00
24,30;400,00
24,31;400,00
24,33;400,00
